"Len","P31","P50","P356","P1476"
"10 Framing the debate on water marketization","Q13442814","Leila M. Harris","10.4324/9780203076361-10","10 Framing the debate on water marketization"
"19 Participation’s limits","Q13442814","Leila M. Harris","10.4324/9780203076361-19","19 Participation’s limits"
"22 Placing hegemony","Q13442814","Leila M. Harris","10.4324/9780203076361-22","22 Placing hegemony"
"A comparative analysis of current microbial water quality risk assessment and management practices in British Columbia and Ontario, Canada","Q13442814","Leila M. Harris","10.1016/j.scitotenv.2013.08.004","A comparative analysis of current microbial water quality risk assessment and management practices in British Columbia and Ontario, Canada"
"A discussion","Q13442814","Leila M. Harris","10.1111/j.1751-5823.2011.00170.x","A discussion"
"Advancing human capabilities for water security: A relational approach","Q13442814","Leila M. Harris","10.1016/j.wasec.2017.07.001","Advancing human capabilities for water security: A relational approach"
"Advancing methods for research on household water insecurity: Studying entitlements and capabilities, socio-cultural dynamics, and political processes, institutions and governance","Q13442814","Leila M. Harris","10.1016/j.wasec.2017.09.001","Advancing methods for research on household water insecurity: Studying entitlements and capabilities, socio-cultural dynamics, and political processes, institutions and governance"
"Assessing states: Water service delivery and evolving state–society relations in Accra, Ghana and Cape Town, South Africa","Q13442814","Leila M. Harris","10.1177/2399654419859365","Assessing states: Water service delivery and evolving state–society relations in Accra, Ghana and Cape Town, South Africa"
"Book Review: Engendering the environment? Gender in the World Bank’s environmental policies","Q13442814","Leila M. Harris","10.1177/146499340200200121","Book Review: Engendering the environment? Gender in the World Bank’s environmental policies"
"Book Review: Opposing currents: The politics of water and gender in Latin America","Q13442814","Leila M. Harris","10.1017/s1743923x05242071","Book Review: Opposing currents: The politics of water and gender in Latin America"
"Canadian Drinking Water Policy: Jurisdictional Variation in the Context of Decentralized Water Governance","Q13442814","Leila M. Harris","10.1007/978-3-319-42806-2_16","Canadian Drinking Water Policy: Jurisdictional Variation in the Context of Decentralized Water Governance"
"Citizenshit: the right to flush and the urban sanitation imaginary","Q13442814","Leila M. Harris","10.1068/a130331p","Citizenshit: the right to flush and the urban sanitation imaginary"
