"Len","P31","P50","P356","P1476","P577"
"Defining “water resilience”: Debates, concepts, approaches, and gaps","Q13442814","Q58348879","10.1002/wat2.1334","Defining “water resilience”: Debates, concepts, approaches, and gaps","2018-12-28T01:18:47Z"
"Expert views on strategies to increase water resilience: evidence from a global survey","Q13442814","Q58348879","10.5751/es-11302-240428","Expert views on strategies to increase water resilience: evidence from a global survey","2019-12-04T16:40:22Z"
"Implementation of the Human Right to Water in Khayelitsha, South Africa: Lessons from a ‘lived experience’perspective","Q13442814","Q58348879","10.1016/j.geoforum.2016.04.003","Implementation of the Human Right to Water in Khayelitsha, South Africa: Lessons from a ‘lived experience’perspective","2016-04-27T22:15:28Z"
"Lived notions of citizenship and the human right to water in Site C, Khayelitsha, Cape Town, South Africa","Q13442814","Q58348879","10.4324/9781315469690-10","Lived notions of citizenship and the human right to water in Site C, Khayelitsha, Cape Town, South Africa","2018-11-17T11:45:10Z"
"Planning for water resilience: competing agendas among Cape Town’s planners and water managers","Q13442814","Q58348879","10.1016/j.envsci.2019.05.016","Planning for water resilience: competing agendas among Cape Town’s planners and water managers","2019-05-24T09:01:05Z"
"Rethinking the human right to water: Water access and dispossession in Botswana’s Central Kalahari Game Reserve","Q13442814","Q58348879","10.1016/j.geoforum.2013.06.012","Rethinking the human right to water: Water access and dispossession in Botswana’s Central Kalahari Game Reserve","2013-07-24T07:05:10Z"
"Revisiting the Human Right to Water from an environmental justice lens","Q13442814","Q58348879","10.1080/21565503.2015.1080619","Revisiting the Human Right to Water from an environmental justice lens","2015-09-14T20:46:35Z"
"Unpacking social-ecological transformations: Conceptual, ethical and methodological insights","Q13442814","Q58348879","10.1177/2053019618817928","Unpacking social-ecological transformations: Conceptual, ethical and methodological insights","2018-12-07T11:20:16Z"
"Water Materialities and Citizen Engagement: Testing the Implications of Water Access and Quality for Community Engagement in Ghana and South Africa","Q13442814","Q58348879","10.1080/08941920.2017.1364818","Water Materialities and Citizen Engagement: Testing the Implications of Water Access and Quality for Community Engagement in Ghana and South Africa","2017-10-24T20:55:50Z"
"Water ethics, justice, and equity in social-ecological systems conservation: lessons from the Queensland Wild Rivers Act","Q13442814","Q58348879","10.2166/wp.2018.016","Water ethics, justice, and equity in social-ecological systems conservation: lessons from the Queensland Wild Rivers Act","2018-06-29T14:05:15Z"
"Water resilience lessons from Cape Town's water crisis","Q13442814","Q58348879","10.1002/wat2.1376","Water resilience lessons from Cape Town's water crisis","2019-08-05T05:53:02Z"
"Water, equity and resilience in Southern Africa: Future directions for research and practice","Q13442814","Q58348879","10.1016/j.cosust.2017.09.001","Water, equity and resilience in Southern Africa: Future directions for research and practice","2017-10-13T07:30:25Z"
